
[ 6123.920643] [AOA] Measurement: 0,1629140880.292772,08:55:31:70:ff:0a,2,1,1,0,128,834,898,250,701,321,780,841,344,506,20,389,985,292,884,666,337,943,45,526,939,633,51,668,993,628,108,22,125,268,1006,320,80,68,66,66,60,68,70,72,57,68,66,71,71,67,69,66,64,71,70,65,66,69,67,74,61,72,71,72,68,73,72,73,75
[ 6123.959132] [AOA] Measurement: 0,1629140880.331261,08:55:31:70:ff:0a,2,1,1,0,128,379,86,859,947,959,995,461,601,60,237,952,127,332,910,206,495,393,866,521,935,696,109,688,2,74,273,116,196,290,1005,275,960,70,71,71,65,71,71,73,58,72,69,73,72,69,70,64,68,73,70,68,67,70,63,74,59,73,69,72,68,71,73,67,72
[ 6124.003587] [AOA] Measurement: 0,1629140880.375715,08:55:31:70:ff:0a,2,1,1,0,128,740,857,245,703,403,811,991,455,87,248,942,158,858,90,225,528,986,49,496,929,655,57,697,36,155,334,30,125,278,1022,521,217,61,62,63,57,62,67,68,54,65,62,67,66,62,64,64,62,67,65,61,65,66,64,70,59,72,67,67,64,71,66,73,73
[ 6124.045961] [AOA] Measurement: 0,1629140880.418083,08:55:31:70:ff:0a,2,1,1,0,128,313,71,817,938,912,994,454,594,547,60,401,995,357,953,163,486,426,891,944,697,110,876,160,838,584,61,123,201,258,997,107,954,56,55,56,53,59,63,63,49,58,56,61,64,60,60,63,59,66,62,58,64,66,64,68,58,71,67,68,65,72,69,72,73
[ 6124.089878] [AOA] Measurement: 0,1629140880.462001,08:55:31:70:ff:0a,2,1,1,0,128,808,927,840,914,913,3,453,590,77,259,996,172,821,35,110,460,947,33,442,862,142,909,699,43,570,84,79,144,262,1006,35,810,63,61,66,59,63,67,67,53,65,62,67,68,64,67,66,62,70,67,62,66,67,66,69,58,72,68,69,65,72,71,73,72
[ 6124.132658] [AOA] Measurement: 0,1629140880.504781,08:55:31:70:ff:0a,2,1,1,0,128,784,895,847,937,362,759,899,364,488,9,367,957,295,901,639,275,426,876,946,709,110,890,142,819,562,70,558,992,732,797,82,967,69,68,69,62,70,71,74,60,70,69,72,72,68,70,66,67,71,71,66,68,68,63,74,58,73,70,70,69,70,74,72,74
[ 6124.182880] [AOA] Measurement: 0,1629140880.555006,08:55:31:70:ff:0a,2,1,1,0,128,290,37,837,924,367,808,886,324,540,4,461,994,274,889,218,480,951,9,481,895,627,33,700,18,132,324,65,125,707,739,873,740,66,64,66,59,66,69,69,56,67,64,69,70,64,68,66,65,70,67,66,67,69,67,73,61,74,70,72,68,75,71,71,75
[ 6124.233223] [AOA] Measurement: 0,1629140880.605345,08:55:31:70:ff:0a,2,1,1,0,128,310,18,824,912,996,1,421,576,76,216,957,103,813,59,158,448,1008,64,471,907,659,99,721,59,128,300,85,180,230,1006,711,493,65,62,65,57,65,69,68,55,65,63,67,68,65,65,67,65,72,66,63,67,68,65,72,60,71,69,69,67,71,70,73,73
[ 6124.278174] [AOA] Measurement: 0,1629140880.650300,08:55:31:70:ff:0a,2,1,1,0,128,817,891,248,714,378,818,841,332,523,53,489,1013,273,884,618,269,437,914,989,735,730,92,739,56,126,324,57,162,712,783,846,653,67,67,69,63,71,69,72,64,74,69,72,73,69,70,68,70,71,72,69,70,70,66,72,66,70,71,72,71,72,73,67,71
[ 6124.322482] [AOA] Measurement: 0,1629140880.694608,08:55:31:70:ff:0a,2,1,1,0,128,352,87,265,722,370,789,925,377,521,1,412,993,257,862,706,321,407,866,955,712,107,903,168,885,563,104,556,995,780,807,135,962,62,62,62,59,64,63,64,58,64,63,65,64,62,62,62,62,64,63,62,62,62,60,64,57,64,63,65,63,63,65,63,63
[ 6124.372846] [AOA] Measurement: 0,1629140880.744967,08:55:31:70:ff:0a,2,1,1,0,128,844,937,843,912,910,977,897,346,542,47,407,1009,273,863,661,292,377,877,992,741,656,3,172,853,572,118,553,1020,697,770,573,404,69,67,68,62,67,71,72,58,69,68,71,70,68,70,65,67,71,70,67,67,69,62,71,57,72,72,72,68,71,74,66,71
[ 6124.429409] [AOA] Measurement: 0,1629140880.801532,08:55:31:70:ff:0a,2,1,1,2,128,844,937,843,912,910,977,897,346,542,47,407,1009,273,863,661,292,377,877,992,741,656,3,172,853,572,118,553,1020,697,770,573,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[ 6124.470559] [AOA] Measurement: 0,1629140880.842681,08:55:31:70:ff:0a,2,1,1,0,128,793,890,262,681,393,794,942,410,475,2,439,1003,808,30,661,291,384,837,926,696,93,858,119,832,608,111,493,937,766,799,23,866,61,62,63,58,63,64,64,58,62,61,66,65,63,64,58,61,64,63,60,62,62,58,65,58,65,64,66,62,63,64,59,63
