
[ 6577.751269] [AOA] Measurement: 0,1627149038.061033,08:55:31:9b:0a:1b,2,1,2,0,128,660,380,496,519,831,9,594,150,827,933,983,534,869,462,434,42,486,903,289,94,306,625,73,279,247,139,994,738,631,891,305,441,69,63,57,62,68,70,53,60,65,78,48,75,61,71,60,71,63,66,61,63,61,55,57,45,36,68,25,61,60,63,58,65
[ 6577.797860] [AOA] Measurement: 0,1627149038.107621,08:55:31:9b:0a:1b,2,1,2,0,128,174,545,507,499,246,833,625,137,300,784,890,532,884,454,394,25,428,833,771,923,758,440,506,95,216,107,1019,763,124,28,281,485,69,63,57,62,68,69,53,63,65,76,48,78,59,72,60,71,65,64,63,63,62,57,59,48,37,69,25,63,62,63,60,67
[ 6577.841221] [AOA] Measurement: 0,1627149038.150981,08:55:31:9b:0a:1b,2,1,2,0,128,147,541,541,505,784,992,553,99,353,772,382,314,371,242,338,975,552,913,301,81,737,431,71,344,195,99,443,540,678,874,929,73,70,64,57,62,71,69,54,62,66,77,49,77,61,71,62,72,63,66,62,65,63,55,61,49,38,70,26,62,62,64,60,67
[ 6577.890790] [AOA] Measurement: 0,1627149038.200551,08:55:31:9b:0a:1b,2,1,2,0,128,656,352,972,347,799,985,38,951,328,771,983,552,897,467,396,26,22,39,283,82,245,657,37,270,716,965,367,520,655,887,980,175,68,64,57,61,70,71,53,62,64,77,47,77,60,72,61,73,64,65,63,63,62,56,61,49,39,70,26,66,62,64,63,69
[ 6577.932504] [AOA] Measurement: 0,1627149038.242265,08:55:31:9b:0a:1b,2,1,2,0,128,734,397,983,310,803,1001,15,954,846,958,968,547,858,411,361,18,6,57,291,62,714,381,583,135,741,989,975,764,576,849,56,228,69,63,57,62,69,70,52,63,65,75,46,77,59,70,60,71,62,64,63,65,61,55,58,47,37,69,27,62,60,63,59,67
[ 6577.977188] [AOA] Measurement: 0,1627149038.286954,08:55:31:9b:0a:1b,2,1,2,0,128,608,322,4,360,774,973,29,932,869,944,911,500,940,438,443,76,1001,30,768,943,711,393,553,97,215,132,944,730,145,25,100,349,67,64,57,61,70,71,53,62,66,77,48,78,59,70,61,71,65,65,64,64,62,56,62,49,39,70,26,65,64,62,62,68
[ 6578.020710] [AOA] Measurement: 0,1627149038.330471,08:55:31:9b:0a:1b,2,1,2,0,128,162,567,497,536,754,969,26,927,853,954,984,543,863,399,401,30,30,96,316,98,261,643,62,329,227,115,994,766,139,22,428,506,69,63,57,62,69,70,53,63,66,78,50,78,61,72,63,72,63,66,64,65,64,57,61,48,39,70,26,66,62,64,61,67
[ 6578.064016] [AOA] Measurement: 0,1627149038.373783,08:55:31:9b:0a:1b,2,1,2,0,128,182,607,556,561,807,1018,618,142,887,971,957,560,882,464,381,33,18,102,290,84,256,627,19,280,270,175,5,812,161,44,138,148,69,63,57,61,67,68,51,61,64,74,46,74,58,70,56,67,59,61,62,60,57,53,55,44,35,65,24,56,52,57,53,60
[ 6578.107059] [AOA] Measurement: 0,1627149038.416827,08:55:31:9b:0a:1b,2,1,2,0,128,188,529,497,519,849,1000,578,119,887,990,964,540,869,430,861,883,465,874,316,92,238,623,55,316,216,101,973,720,179,44,501,556,69,62,57,62,70,70,52,61,67,78,47,75,59,71,59,70,62,64,63,63,61,55,57,46,38,66,24,60,58,60,57,64
[ 6578.150503] [AOA] Measurement: 0,1627149038.460264,08:55:31:9b:0a:1b,2,1,2,0,128,656,351,981,365,270,809,1,947,291,788,410,333,373,276,850,857,434,879,300,83,740,444,102,320,193,114,987,760,142,50,76,268,68,64,56,62,70,68,53,62,65,76,47,78,60,72,61,73,63,66,63,64,62,56,59,47,40,70,26,62,61,63,61,66
