
[ 6314.129993] [AOA] Measurement: 0,1627119990.265440,08:55:31:9b:0a:1b,2,1,2,0,128,313,953,731,446,853,969,616,306,947,955,472,1016,627,526,1001,982,267,126,552,148,655,811,214,453,48,198,799,337,594,94,891,919,57,67,68,16,54,77,97,80,59,94,71,107,73,36,79,14,46,72,31,69,33,55,62,39,64,86,75,100,56,93,67,68
[ 6314.178724] [AOA] Measurement: 0,1627119990.314171,08:55:31:9b:0a:1b,2,1,2,0,128,253,910,693,423,378,828,104,122,398,774,387,938,587,512,937,932,739,923,594,208,577,760,870,703,44,187,790,345,565,86,933,811,55,66,65,17,54,77,95,76,59,91,73,109,72,38,78,13,46,71,32,71,32,56,62,39,62,87,74,101,53,92,67,70
[ 6314.226875] [AOA] Measurement: 0,1627119990.362326,08:55:31:9b:0a:1b,2,1,2,0,128,741,47,208,605,365,844,87,147,380,773,499,973,32,378,956,954,328,163,131,396,155,1011,748,599,638,391,758,344,581,39,8,987,58,66,68,17,54,79,94,76,59,95,75,109,74,37,77,14,45,74,31,70,32,56,64,40,63,86,74,98,52,89,65,67
[ 6314.274364] [AOA] Measurement: 0,1627119990.409809,08:55:31:9b:0a:1b,2,1,2,0,128,739,48,223,617,878,984,661,330,0,11,969,125,543,498,967,970,305,140,167,408,584,810,855,684,83,206,282,527,82,258,263,144,55,65,66,16,53,78,94,76,59,94,73,108,74,37,74,13,45,72,29,68,31,56,62,38,62,86,74,97,54,92,68,67
[ 6314.319027] [AOA] Measurement: 0,1627119990.454479,08:55:31:9b:0a:1b,2,1,2,0,128,259,882,673,392,370,820,95,112,461,793,431,968,30,300,450,798,767,959,615,265,594,788,220,425,89,192,827,356,577,57,705,738,57,66,67,17,53,78,95,78,60,95,72,109,76,39,79,13,45,73,31,68,31,55,62,39,63,84,73,98,50,91,66,67
[ 6314.363109] [AOA] Measurement: 0,1627119990.498560,08:55:31:9b:0a:1b,2,1,2,0,128,209,872,758,436,341,820,88,124,418,794,422,986,547,471,969,925,764,938,611,209,593,795,191,402,51,176,852,370,560,42,242,300,59,68,68,17,55,79,95,79,59,96,73,108,74,36,76,13,46,74,30,68,31,54,60,38,63,84,75,95,51,90,65,64
[ 6314.415825] [AOA] Measurement: 0,1627119990.551272,08:55:31:9b:0a:1b,2,1,2,0,128,749,46,260,640,859,974,693,292,997,988,942,120,574,513,421,738,353,154,101,383,610,803,292,457,654,400,790,354,549,45,342,290,61,68,70,15,53,78,92,79,59,96,75,109,75,36,76,12,46,75,31,67,31,54,63,38,62,85,74,94,50,90,66,65
[ 6314.456613] [AOA] Measurement: 0,1627119990.592063,08:55:31:9b:0a:1b,2,1,2,0,128,233,928,760,481,891,998,657,301,947,959,427,956,48,323,971,950,281,123,638,204,211,1007,204,411,652,389,263,469,599,81,553,500,57,66,69,17,54,79,94,78,59,94,72,107,74,37,77,14,46,73,31,69,32,56,62,38,63,85,75,98,52,90,65,66
[ 6314.501468] [AOA] Measurement: 0,1627119990.636919,08:55:31:9b:0a:1b,2,1,2,0,128,311,951,709,454,322,806,136,140,948,985,973,132,537,464,502,768,281,143,126,421,563,777,273,453,49,148,323,544,52,241,344,226,57,65,67,17,52,77,92,77,59,95,72,108,73,36,75,12,46,72,31,68,31,54,63,38,62,82,72,93,50,89,64,63
[ 6314.542405] [AOA] Measurement: 0,1627119990.677829,08:55:31:9b:0a:1b,2,1,2,0,128,238,915,718,449,892,996,640,307,872,937,428,990,552,447,434,755,813,965,565,192,571,742,216,447,68,189,304,514,626,124,829,836,56,67,70,17,56,80,96,78,60,96,73,108,75,36,79,14,46,74,30,70,32,55,64,39,65,88,76,101,54,94,66,68
