
[ 9688.160175] [AOA] Measurement: 0,1627123364.295596,08:55:31:9b:0a:1d,2,1,2,0,128,903,69,619,703,245,790,993,26,789,959,466,913,962,396,437,369,429,316,489,752,682,704,425,68,830,28,559,35,58,572,189,628,49,9,38,16,33,49,39,10,48,29,61,35,28,31,40,6,26,3,4,5,16,17,15,34,48,30,39,67,36,40,49,13
[ 9688.197877] [AOA] Measurement: 0,1627123364.333296,08:55:31:9b:0a:1d,2,1,2,0,128,431,109,129,994,785,1008,605,289,776,965,1004,101,524,620,972,548,461,269,568,926,317,802,454,34,823,71,495,15,625,782,246,800,52,7,39,15,35,52,41,13,49,27,61,34,28,31,40,7,26,4,6,5,14,14,16,33,49,29,38,67,38,41,46,13
[ 9688.236683] [AOA] Measurement: 0,1627123364.372104,08:55:31:9b:0a:1d,2,1,2,0,128,470,159,114,972,759,984,975,29,172,747,442,941,1019,458,313,215,974,7,1011,734,764,641,428,49,825,43,12,252,570,767,28,501,49,8,37,15,32,48,39,11,48,25,60,32,27,28,38,7,25,2,6,4,15,19,14,35,47,30,39,68,41,39,49,13
[ 9688.280433] [AOA] Measurement: 0,1627123364.415853,08:55:31:9b:0a:1d,2,1,2,0,128,915,941,128,4,259,837,970,40,265,812,1010,54,563,629,349,274,479,230,524,896,246,793,15,230,316,212,40,235,580,768,988,538,51,10,43,13,37,52,42,13,52,30,61,32,27,30,40,8,27,5,5,5,13,14,15,33,49,30,38,68,37,40,46,12
[ 9688.323826] [AOA] Measurement: 0,1627123364.459247,08:55:31:9b:0a:1d,2,1,2,0,128,971,949,603,793,223,833,950,42,224,846,420,886,1012,396,397,306,474,217,509,962,255,757,439,26,366,255,1016,194,591,761,989,530,53,7,40,16,36,52,43,12,51,28,64,33,29,30,42,6,27,5,4,3,15,16,16,35,48,32,38,70,39,40,52,12
[ 9688.366054] [AOA] Measurement: 0,1627123364.501470,08:55:31:9b:0a:1d,2,1,2,0,128,919,994,543,732,192,769,24,114,238,774,462,909,1019,447,915,485,931,26,965,657,728,577,1012,239,355,217,510,23,49,573,364,839,54,7,40,15,34,50,39,13,50,27,63,35,29,32,39,6,26,6,6,4,15,16,16,34,49,30,40,67,39,41,49,8
[ 9688.409254] [AOA] Measurement: 0,1627123364.544671,08:55:31:9b:0a:1d,2,1,2,0,128,443,143,599,762,809,1011,947,33,235,789,423,884,3,436,903,486,405,248,522,966,269,814,2,248,374,264,68,266,574,774,31,472,49,6,34,15,30,46,40,11,44,25,60,31,26,30,41,7,26,2,5,6,15,18,15,37,48,28,39,69,42,42,50,14
[ 9688.451650] [AOA] Measurement: 0,1627123364.587068,08:55:31:9b:0a:1d,2,1,2,0,128,435,138,101,955,805,1020,539,283,739,961,473,900,9,433,380,317,449,165,968,675,756,573,518,78,403,267,12,220,549,739,553,115,49,9,35,14,32,49,40,10,47,27,60,32,27,29,39,6,26,3,4,5,15,17,15,34,49,29,39,68,39,40,50,11
[ 9688.494145] [AOA] Measurement: 0,1627123364.629567,08:55:31:9b:0a:1d,2,1,2,0,128,476,170,64,974,751,978,544,254,746,985,444,894,991,414,376,294,962,22,498,935,322,799,972,188,851,79,9,187,564,725,743,327,39,12,36,6,34,42,33,16,43,25,45,18,23,20,29,4,17,6,4,8,8,3,8,14,28,19,23,35,13,19,26,13
[ 9688.536023] [AOA] Measurement: 0,1627123364.671443,08:55:31:9b:0a:1d,2,1,2,0,128,436,114,618,811,202,783,14,87,214,791,459,886,596,667,909,445,444,208,551,927,685,554,448,55,838,56,510,37,637,787,138,640,40,12,36,7,35,42,33,18,44,26,46,20,24,21,26,5,17,6,4,8,7,4,6,13,29,20,25,36,13,21,28,13
[ 9688.577935] [AOA] Measurement: 0,1627123364.713358,08:55:31:9b:0a:1d,2,1,2,0,128,482,159,130,974,738,990,1013,76,216,817,473,911,50,442,944,465,466,226,507,941,346,815,945,212,315,210,39,231,590,764,10,541,41,8,36,7,35,43,36,15,45,28,47,21,23,19,30,3,19,5,4,6,7,4,6,12,29,20,23,35,14,20,27,13
[ 9688.620861] [AOA] Measurement: 0,1627123364.756283,08:55:31:9b:0a:1d,2,1,2,0,128,370,114,148,970,239,771,989,44,249,810,1008,61,27,463,951,555,460,305,600,844,234,792,1018,262,304,215,45,252,551,737,622,117,54,10,41,14,34,51,42,13,50,29,63,33,28,30,41,7,26,5,7,5,15,14,15,32,48,33,38,66,36,41,47,13
[ 9688.659685] [AOA] Measurement: 0,1627123364.795105,08:55:31:9b:0a:1d,2,1,2,0,128,940,1014,622,776,762,966,543,285,774,988,1001,55,532,633,977,552,437,260,588,875,201,770,430,72,868,74,67,224,548,706,49,522,53,8,43,12,38,52,41,13,51,30,61,33,30,28,39,6,25,6,6,4,13,11,12,30,43,28,36,61,32,36,41,12
[ 9688.697622] [AOA] Measurement: 0,1627123364.833039,08:55:31:9b:0a:1d,2,1,2,0,128,923,955,99,942,252,809,520,241,207,777,441,885,1018,397,354,310,438,171,598,981,246,779,989,271,305,206,25,199,583,746,598,139,53,9,42,14,36,49,41,14,52,29,63,35,29,32,41,7,27,5,3,6,16,16,14,36,48,31,37,69,40,39,51,13
[ 9688.745250] [AOA] Measurement: 0,1627123364.880675,08:55:31:9b:0a:1d,2,1,2,0,128,933,40,192,993,816,990,935,0,205,771,457,870,35,467,397,352,948,131,8,622,245,848,972,249,332,199,77,228,33,577,909,359,49,6,34,14,31,47,39,11,45,27,59,32,26,30,39,5,25,3,6,6,14,16,16,38,48,29,40,68,40,41,48,14
[ 9688.790365] [AOA] Measurement: 0,1627123364.925782,08:55:31:9b:0a:1d,2,1,2,0,128,921,941,569,792,243,794,997,30,245,790,438,937,18,467,347,250,939,991,1008,817,745,575,500,91,821,81,500,1018,611,784,222,800,54,8,39,13,36,50,41,13,50,29,65,34,29,32,42,7,27,5,5,4,15,18,15,36,49,30,40,67,42,42,49,13
[ 9688.834455] [AOA] Measurement: 0,1627123364.969871,08:55:31:9b:0a:1d,2,1,2,0,128,916,981,127,964,270,810,1009,68,799,1003,963,42,531,626,932,507,441,286,522,846,215,768,1022,262,312,259,1010,200,536,707,660,227,48,8,35,15,30,45,38,10,44,25,56,31,28,28,36,5,23,4,4,5,14,15,13,33,44,28,37,64,37,37,44,12
