
[ 2692.064959] [AOA] Measurement: 0,1627126509.955384,08:55:31:9b:05:29,2,1,2,0,128,678,505,483,108,866,966,45,491,816,693,299,42,440,482,935,114,480,13,346,686,168,448,540,307,763,104,542,250,452,859,200,764,83,83,79,84,83,78,79,79,65,87,80,87,74,79,76,79,81,81,84,80,78,79,70,72,85,80,84,75,83,80,86,85
[ 2692.106708] [AOA] Measurement: 0,1627126509.997132,08:55:31:9b:05:29,2,1,2,0,128,185,343,907,876,364,799,1006,498,849,751,738,824,928,282,909,49,940,886,739,462,610,252,977,52,180,897,996,80,999,687,625,173,81,78,75,78,79,79,77,74,62,83,72,82,71,78,74,76,82,82,82,79,76,77,71,73,81,79,81,74,84,79,89,85
[ 2692.149203] [AOA] Measurement: 0,1627126510.039622,08:55:31:9b:05:29,2,1,2,0,128,692,540,456,106,888,994,595,679,365,896,762,880,894,295,941,77,475,24,279,655,224,490,550,316,793,147,560,277,514,928,237,716,80,74,75,78,79,79,79,75,63,84,74,84,72,77,72,77,77,77,81,79,75,78,71,74,83,80,83,74,85,80,88,84
[ 2692.188092] [AOA] Measurement: 0,1627126510.078513,08:55:31:9b:05:29,2,1,2,0,128,112,289,1006,928,904,1,63,474,876,736,782,861,878,260,303,831,904,845,877,526,616,240,521,297,726,108,950,35,985,719,655,280,81,77,76,77,81,79,78,75,63,84,74,86,73,78,76,79,81,80,81,79,76,79,71,74,82,77,80,77,85,78,88,83
[ 2692.232865] [AOA] Measurement: 0,1627126510.123288,08:55:31:9b:05:29,2,1,2,2,128,112,289,1006,928,904,1,63,474,876,736,782,861,878,260,303,831,904,845,877,526,616,240,521,297,726,108,950,35,985,719,655,280,80,74,75,78,79,79,79,75,63,84,74,84,72,77,72,77,77,77,81,79,75,78,71,74,83,80,83,74,85,80,88,84
[ 2692.282966] [AOA] Measurement: 0,1627126510.173384,08:55:31:9b:05:29,2,1,2,0,128,702,530,861,863,946,989,88,518,377,897,303,68,468,489,858,40,403,981,798,487,617,238,915,26,239,923,540,274,622,959,233,659,76,73,74,76,76,77,75,71,61,80,72,83,71,74,73,75,78,79,78,75,74,75,70,71,80,77,80,77,84,77,88,83
[ 2692.333259] [AOA] Measurement: 0,1627126510.223678,08:55:31:9b:05:29,2,1,2,0,128,619,513,479,62,265,779,665,774,450,966,324,72,395,475,850,7,912,816,788,486,642,282,464,261,776,114,618,371,635,996,1003,334,79,76,74,80,82,79,79,75,62,82,75,83,71,78,76,79,81,80,82,77,77,78,72,73,83,80,84,76,84,80,88,85
[ 2692.377763] [AOA] Measurement: 0,1627126510.268189,08:55:31:9b:05:29,2,1,2,0,128,666,541,423,41,872,965,55,525,326,918,724,876,920,303,307,883,884,832,766,480,607,238,984,84,215,942,1012,87,1002,693,444,980,85,79,79,82,83,79,77,75,64,86,79,86,74,81,78,82,83,83,84,81,79,79,72,75,83,80,83,76,84,80,88,84
[ 2692.422449] [AOA] Measurement: 0,1627126510.312868,08:55:31:9b:05:29,2,1,2,0,128,660,531,461,49,886,971,57,493,868,725,849,950,442,488,877,44,460,38,310,673,165,428,474,239,179,903,1003,27,50,745,368,998,84,81,80,81,84,79,81,78,66,86,78,88,73,81,78,81,84,82,84,83,80,81,73,76,86,80,83,76,85,82,87,80
[ 2692.472725] [AOA] Measurement: 0,1627126510.363144,08:55:31:9b:05:29,2,1,2,0,128,718,565,482,79,877,994,595,661,860,732,776,869,459,487,925,66,491,43,318,708,122,452,477,292,715,62,564,261,595,927,688,37,82,80,77,83,83,78,79,78,63,84,77,87,75,81,77,82,82,83,86,81,80,80,72,76,85,79,86,75,80,80,86,80
